36°52′46″S,-36.87939411,73°02′03″W,-73.03409767,0.2263,163.98°
36°52′49″S,-36.88037621,73°02′12″W,-73.03653707,0.3615,205.315°
36°53′04″S,-36.88435689,73°02′25″W,-73.04023303,0.9088,212.134°
36°52′16″S,-36.8711276,73°02′20″W,-73.03892803,0.7922,332.375°
36°52′37″S,-36.87688795,73°01′59″W,-73.03295056,0.1755,69.592°
36°52′15″S,-36.87094085,73°01′42″W,-73.02823353,0.9293,38.955°
36°53′04″S,-36.88453538,73°01′48″W,-73.03011826,0.8925,152.184°
36°52′53″S,-36.88126729,73°01′56″W,-73.03235824,0.4781,152.977°
36°52′38″S,-36.87719899,73°01′39″W,-73.02757624,0.6432,87.631°
36°52′15″S,-36.87093914,73°02′30″W,-73.04163971,0.945,319.904°
36°52′17″S,-36.87145703,73°02′15″W,-73.0376012,0.7104,339.459°
36°52′59″S,-36.88297781,73°02′29″W,-73.04128771,0.8443,223.131°
36°52′11″S,-36.86961441,73°02′04″W,-73.03437381,0.871,2.494°
36°52′49″S,-36.88025875,73°01′41″W,-73.02792741,0.6872,117.163°
36°52′10″S,-36.86945768,73°01′58″W,-73.03279899,0.9053,11.341°
36°52′25″S,-36.87372292,73°02′20″W,-73.03877036,0.5437,319.472°
36°52′43″S,-36.87863896,73°01′27″W,-73.024098,0.9615,97.987°
36°53′04″S,-36.88458099,73°02′25″W,-73.04030277,0.9332,211.643°
36°52′27″S,-36.87413649,73°01′55″W,-73.03181417,0.4532,35.88°
36°52′46″S,-36.87942152,73°02′05″W,-73.0348209,0.2206,180.49°
36°52′09″S,-36.86918944,73°02′07″W,-73.03522409,0.9183,357.643°
36°52′20″S,-36.87233145,73°01′43″W,-73.02852704,0.7963,44.498°
36°52′42″S,-36.87821513,73°01′28″W,-73.02453012,0.9178,95.405°
36°52′24″S,-36.87327201,73°01′55″W,-73.03195237,0.5281,28.666°
36°52′15″S,-36.87090689,73°01′57″W,-73.03241361,0.7569,16.291°
36°53′09″S,-36.88582346,73°02′13″W,-73.0368467,0.9503,191.048°
36°53′03″S,-36.88412583,73°02′11″W,-73.03640384,0.7574,190.861°
36°52′22″S,-36.87270612,73°02′21″W,-73.03914302,0.653,323.712°
36°52′50″S,-36.88060643,73°02′22″W,-73.0394355,0.5425,229.489°
36°52′48″S,-36.87988256,73°02′02″W,-73.03382419,0.2854,162.295°
36°52′11″S,-36.86978001,73°02′21″W,-73.03914957,0.9356,335.563°
36°52′11″S,-36.86977311,73°02′10″W,-73.03607349,0.8601,352.427°
36°52′41″S,-36.87799322,73°02′30″W,-73.0417875,0.6248,264.328°
36°52′51″S,-36.88089776,73°02′23″W,-73.03963742,0.5773,228.202°
36°52′57″S,-36.8825691,73°02′11″W,-73.03627784,0.5856,192.976°
36°52′55″S,-36.88202311,73°01′59″W,-73.03308952,0.5322,163.387°
36°52′18″S,-36.87163242,73°01′54″W,-73.03165272,0.7039,23.443°
36°52′40″S,-36.8778001,73°02′04″W,-73.03457176,0.0451,153.253°
36°52′23″S,-36.87298388,73°01′40″W,-73.02765598,0.8059,52.066°
36°52′20″S,-36.87221647,73°02′11″W,-73.03640509,0.5981,346.183°
36°52′33″S,-36.87595396,73°01′53″W,-73.03127777,0.3542,62.218°
36°52′20″S,-36.8721489,73°02′36″W,-73.04344776,0.9686,307.398°
36°52′20″S,-36.87221779,73°02′16″W,-73.03778503,0.6385,335.418°
36°52′54″S,-36.88166513,73°01′44″W,-73.02885557,0.7076,131.638°
36°53′03″S,-36.88419715,73°02′04″W,-73.03447254,0.7523,177.783°
36°52′36″S,-36.87664386,73°01′56″W,-73.03215012,0.2518,69.453°
36°52′36″S,-36.87655714,73°02′30″W,-73.04157816,0.611,279.228°
36°52′17″S,-36.87132341,73°01′53″W,-73.03139181,0.7447,24.029°
36°52′45″S,-36.87926727,73°02′44″W,-73.04559814,0.9821,258.042°
36°52′18″S,-36.87171806,73°01′41″W,-73.02812474,0.8704,43.031°
36°52′29″S,-36.87481098,73°02′03″W,-73.03403392,0.3001,13.125°
36°52′23″S,-36.8730054,73°02′25″W,-73.0403866,0.7001,314.765°
36°52′45″S,-36.87921623,73°02′44″W,-73.04561979,0.9828,258.389°
36°52′29″S,-36.87463649,73°02′29″W,-73.04131114,0.6578,298.274°
36°52′35″S,-36.87647281,73°02′13″W,-73.03700347,0.2236,298.708°
36°52′20″S,-36.87226469,73°02′09″W,-73.03573765,0.5815,351.748°
36°52′37″S,-36.87681513,73°01′32″W,-73.02550289,0.8301,85.213°
36°52′37″S,-36.87706053,73°02′06″W,-73.03512788,0.0512,325.204°
36°52′42″S,-36.87842858,73°01′37″W,-73.02707431,0.6961,99.106°
36°52′55″S,-36.88194516,73°02′14″W,-73.03716316,0.5436,202.756°
36°52′08″S,-36.86875746,73°02′15″W,-73.03755933,0.9963,345.731°
36°52′25″S,-36.87374541,73°02′08″W,-73.03562898,0.4173,349.816°
36°52′24″S,-36.8732161,73°02′09″W,-73.03580863,0.4781,349.178°
36°52′34″S,-36.87617746,73°01′26″W,-73.0238345,0.9856,81.823°
36°52′59″S,-36.88303551,73°01′45″W,-73.02927087,0.7934,141.689°
36°52′19″S,-36.87199688,73°02′27″W,-73.04076058,0.8047,318.77°
